product_name,link,product_img
Authentic Geekvape Z50 Kit - Black,https://www.cigabuy.com/authentic-geekvape-z50-kit-black-p-21333.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/66/99/586699_132672689475604603_3.jpg
Authentic Steam Crave Mini Robot Combo Mod - Black,https://www.cigabuy.com/authentic-steam-crave-mini-robot-combo-mod-black-p-21902.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/72/54/587254_132738151635906371_3.jpg
Authentic Geekvape Z50 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-z50-kit-rainbow-p-21335.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/67/01/586701_132672690040964373_3.jpg
Authentic Vandyvape NOX Pod Kit - Aurora Green Black,https://www.cigabuy.com/authentic-vandyvape-nox-pod-kit-aurora-green-black-p-21842.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/23/587123_132727064587453826_3.jpg
Authentic Vandyvape NOX Pod Kit - Magma Red Black,https://www.cigabuy.com/authentic-vandyvape-nox-pod-kit-magma-red-black-p-21843.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/24/587124_132727065554541760_3.jpg
Authentic Uwell Aeglos H2 Pod Kit - Emerald Green,https://www.cigabuy.com/authentic-uwell-aeglos-h2-pod-kit-emerald-green-p-21826.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/05/587105_132723474660620059_3.jpg
Authentic Uwell Aeglos H2 Pod Kit - Dove Blue,https://www.cigabuy.com/authentic-uwell-aeglos-h2-pod-kit-dove-blue-p-21824.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/03/587103_132723474147855870_3.jpg
Authentic Wotofo MDURA PRO Kit - King Kong Red,https://www.cigabuy.com/authentic-wotofo-mdura-pro-kit-king-kong-red-p-21102.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/64/41/586441_132642269997145120_3.jpg
Authentic Vandyvape JACKAROO Mini Kit - G10 Obsidian Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-mini-kit-g10-obsidian-black-p-21775.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/51/587051_132715078630800974_3.jpg
Authentic Uwell Aeglos H2 Pod Kit - Classic Black,https://www.cigabuy.com/authentic-uwell-aeglos-h2-pod-kit-classic-black-p-21823.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/02/587102_132723473829478403_3.jpg
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Navy Blue,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-navy-blue-p-21887.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/68/587168_132733217075593798_3.jpg
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Grey,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-grey-p-21886.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/67/587167_132733216714441394_3.jpg
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Red,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-red-p-21890.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/71/587171_132733217910656647_3.jpg
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Silver,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-silver-p-21888.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/69/587169_132733217402574532_3.jpg
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Rainbow,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-rainbow-p-21889.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/70/587170_132733217675126164_3.jpg
Authentic Wotofo MDura Mini Kit - Halftone Orange,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-orange-p-21626.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/52/586952_132701224260123138_3.jpg
Authentic Vandyvape JACKAROO Mini Kit - Resin Blue Porcelain,https://www.cigabuy.com/authentic-vandyvape-jackaroo-mini-kit-resin-blue-porcelain-p-21777.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/53/587053_132715079080913352_3.jpg
Authentic Uwell Aeglos H2 Pod Kit - Ruby Red,https://www.cigabuy.com/authentic-uwell-aeglos-h2-pod-kit-ruby-red-p-21827.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/71/06/587106_132723474947192640_3.jpg
Authentic Vandyvape JACKAROO Mini Kit - Resin Red Agate,https://www.cigabuy.com/authentic-vandyvape-jackaroo-mini-kit-resin-red-agate-p-21778.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/54/587054_132715079328073444_3.jpg
Authentic Geekvape G18 Starter Pen Kit - Wood,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-wood-p-21771.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/75/587075_132714990758622524_3.jpg
Authentic Uwell Whirl T1 Pod Mod Kit - Camouflage,https://www.cigabuy.com/authentic-uwell-whirl-t1-pod-mod-kit-camouflage-p-21567.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/69/19/586919_132696902482686926_3.jpg
Authentic Geekvape G18 Starter Pen Kit - Black,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-black-p-21769.html,https://s3.amazonaws.com/cbimg.aa-img.com/small_images/70/46/587046_132714989080809658_3.jpg
