title,year,genre,public_permission,duration_hr,duration_min,noted_imdb,movie_poster,play_trailer,movie_url
The Silence of the Lambs,1991,Crime,R,1,58,8.6,https://www.imdb.com/title/tt0102926/mediaviewer/rm3242988544/?ref_=tt_ov_i,https://www.imdb.com/video/vi3377380121?playlistId=tt0102926&ref_=tt_ov_vi,https://www.imdb.com/title/tt0102926/
La vita è bella,1997,Comedy,PG-13,1,56,8.6,https://www.imdb.com/title/tt0118799/mediaviewer/rm2303464448/?ref_=tt_ov_i,https://www.imdb.com/video/vi2332801561?playlistId=tt0118799&ref_=tt_ov_vi,https://www.imdb.com/title/tt0118799/
Cidade de Deus,2002,Crime,R,2,10,8.6,https://www.imdb.com/title/tt0317248/mediaviewer/rm1021136128/?ref_=tt_ov_i,https://www.imdb.com/video/vi1783208985?playlistId=tt0317248&ref_=tt_ov_vi,https://www.imdb.com/title/tt0317248/
The Green Mile,1999,Crime,R,3,9,8.6,https://www.imdb.com/title/tt0120689/mediaviewer/rm946247936/?ref_=tt_ov_i,https://www.imdb.com/video/vi552796441?playlistId=tt0120689&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120689/
Interstellar,2014,Adventure,PG-13,2,49,8.6,https://www.imdb.com/title/tt0816692/mediaviewer/rm4043724800/?ref_=tt_ov_i,https://www.imdb.com/video/vi1586278169?playlistId=tt0816692&ref_=tt_ov_vi,https://www.imdb.com/title/tt0816692/
Saving Private Ryan,1998,Drama,R,2,49,8.6,https://www.imdb.com/title/tt0120815/mediaviewer/rm1924732160/?ref_=tt_ov_i,https://www.imdb.com/video/vi1701906201?playlistId=tt0120815&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120815/
One Flew Over the Cuckoo's Nest,1975,Drama,R,2,13,8.7,https://www.imdb.com/title/tt0073486/mediaviewer/rm2186479360/?ref_=tt_ov_i,https://www.imdb.com/video/vi3943282969?playlistId=tt0073486&ref_=tt_ov_vi,https://www.imdb.com/title/tt0073486/
Forrest Gump,1994,Drama,PG-13,2,22,8.8,https://www.imdb.com/title/tt0109830/mediaviewer/rm1954748672/?ref_=tt_ov_i,https://www.imdb.com/video/vi3567517977?playlistId=tt0109830&ref_=tt_ov_vi,https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Fellowship of the Ring,2001,Action,PG-13,2,58,8.8,https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976/?ref_=tt_ov_i,https://www.imdb.com/video/vi684573465?playlistId=tt0120737&ref_=tt_ov_vi,https://www.imdb.com/title/tt0120737/
Goodfellas,1990,Biography,R,2,25,8.7,https://www.imdb.com/title/tt0099685/mediaviewer/rm2091797760/?ref_=tt_ov_i,https://www.imdb.com/video/vi2673654553?playlistId=tt0099685&ref_=tt_ov_vi,https://www.imdb.com/title/tt0099685/
Fight Club,1999,Drama,R,2,19,8.8,https://www.imdb.com/title/tt0137523/mediaviewer/rm2110056193/?ref_=tt_ov_i,https://www.imdb.com/video/vi781228825?playlistId=tt0137523&ref_=tt_ov_vi,https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Two Towers,2002,Action,PG-13,2,59,8.8,https://www.imdb.com/title/tt0167261/mediaviewer/rm306845440/?ref_=tt_ov_i,https://www.imdb.com/video/vi701350681?playlistId=tt0167261&ref_=tt_ov_vi,https://www.imdb.com/title/tt0167261/
Pulp Fiction,1994,Crime,R,2,34,8.9,https://www.imdb.com/title/tt0110912/mediaviewer/rm1959546112/?ref_=tt_ov_i,https://www.imdb.com/video/vi2620371481?playlistId=tt0110912&ref_=tt_ov_vi,https://www.imdb.com/title/tt0110912/
12 Angry Men,1957,Crime,Approved,1,36,9.0,https://www.imdb.com/title/tt0050083/mediaviewer/rm2927108352/?ref_=tt_ov_i,https://www.imdb.com/video/vi2924462873?playlistId=tt0050083&ref_=tt_ov_vi,https://www.imdb.com/title/tt0050083/
The Godfather: Part II,1974,Crime,R,3,22,9.0,https://www.imdb.com/title/tt0071562/mediaviewer/rm4159262464/?ref_=tt_ov_i,https://www.imdb.com/video/vi696162841?playlistId=tt0071562&ref_=tt_ov_vi,https://www.imdb.com/title/tt0071562/
Schindler's List,1993,Biography,R,3,15,9.0,https://www.imdb.com/title/tt0108052/mediaviewer/rm1610023168/?ref_=tt_ov_i,https://www.imdb.com/video/vi1158527769?playlistId=tt0108052&ref_=tt_ov_vi,https://www.imdb.com/title/tt0108052/
The Godfather,1972,Crime,R,2,55,9.2,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/?ref_=tt_ov_i,https://www.imdb.com/video/vi1348706585?playlistId=tt0068646&ref_=tt_ov_vi,https://www.imdb.com/title/tt0068646/
The Lord of the Rings: The Return of the King,2003,Action,PG-13,3,21,9.0,https://www.imdb.com/title/tt0167260/mediaviewer/rm584928512/?ref_=tt_ov_i,https://www.imdb.com/video/vi718127897?playlistId=tt0167260&ref_=tt_ov_vi,https://www.imdb.com/title/tt0167260/
The Dark Knight,2008,Action,PG-13,2,32,9.0,https://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632/?ref_=tt_ov_i,https://www.imdb.com/video/vi324468761?playlistId=tt0468569&ref_=tt_ov_vi,https://www.imdb.com/title/tt0468569/
